Stage;TLD;Flags;Registry;"Registry Group";Backend;Start;End;Description
SR;ceo;FCFS;"CEOTLD Pty Ltd";"PeopleBrowsr Inc.";"Neustar Inc.";2014-02-10T15:00:00Z;2014-03-12T00:00:00Z;
LR;menu;;"Wedding TLD2, LLC";;"ARI Registry Services";2014-02-10T16:00:00Z;2014-02-10T17:00:00Z;
SR;wien;;"punkt.wien GmbH";;"TLD-BOX Registrydienstleistungen GmbH";2014-02-11T00:00:00Z;2014-04-30T23:59:59Z;
SR;codes;;"Puff Willow, LLC";"Donuts Inc.";"Rightside Registry";2014-02-11T16:00:00Z;2014-04-12T15:59:59Z;
SR;farm;;"Just Maple, LLC";"Donuts Inc.";"Rightside Registry";2014-02-11T16:00:00Z;2014-04-12T15:59:59Z;
SR;viajes;;"Black Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-11T16:00:00Z;2014-04-12T15:59:59Z;
GA;camera;;"Atomic Maple, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
EA;construction;;"Fox Dynamite, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
EA;contractors;;"Magic Woods, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
EA;directory;;"Extra Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
GA;equipment;;"Corn Station, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
GA;estate;;"Trixy Park, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
GA;gallery;;"Sugar House, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
GA;graphics;;"Over Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
EA;kitchen;;"Just Goodbye, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
EA;land;;"Pine Moon, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
GA;lighting;;"John McCook, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
GA;photography;;"Sugar Glen, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2099-12-31T23:59:59Z;
EA;technology;;"Auburn Falls, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
EA;today;;"Pearl Woods, LLC";"Donuts Inc.";"Rightside Registry";2014-02-12T16:00:00Z;2014-02-19T15:59:59Z;
LR;uno;;"Dot Latin LLC";;"Neustar Inc.";2014-02-12T16:00:00Z;2014-02-12T17:00:00Z;
SR;berlin;FCFS;"dotBERLIN GmbH & Co. KG";;"TLD-BOX Registrydienstleistungen GmbH";2014-02-14T10:00:00Z;2014-03-16T23:59:59Z;
SR;agency;;"Steel Falls, LLC";"Donuts Inc.";"Rightside Registry";2014-02-18T16:00:00Z;2014-04-19T23:59:59Z;
SR;bargains;;"Half Hallow, LLC";"Donuts Inc.";"Rightside Registry";2014-02-18T16:00:00Z;2014-04-19T16:00:00Z;
SR;boutique;;"Over Galley, LLC";"Donuts Inc.";"Rightside Registry";2014-02-18T16:00:00Z;2014-04-19T16:00:00Z;
SR;cheap;;"Sand Cover, LLC";"Donuts Inc.";"Rightside Registry";2014-02-18T16:00:00Z;2014-04-19T16:00:00Z;
SR;zone;;"Outer Falls, LLC";"Donuts Inc.";"Rightside Registry";2014-02-18T16:00:00Z;2014-04-19T16:00:00Z;
GA;construction;;"Fox Dynamite, LLC";"Donuts Inc.";"Rightside Registry";2014-02-19T16:00:00Z;2099-12-31T23:59:59Z;
