name,repository
recaptcha,https://github.com/ambethia/recaptcha
resque-scheduler,https://github.com/resque/resque-scheduler
gosu,https://github.com/gosu/gosu
email_spec,https://github.com/email-spec/email-spec
refinerycms-pages,https://github.com/refinery/refinerycms
pdf-reader,https://github.com/yob/pdf-reader
ohm,https://github.com/soveran/ohm
bindata,https://github.com/dmendel/bindata
attr_encrypted,https://github.com/attr-encrypted/attr_encrypted
ruby-prof,https://github.com/ruby-prof/ruby-prof
bundler-audit,https://github.com/rubysec/bundler-audit
split,https://github.com/splitrb/split
jira-ruby,https://github.com/sumoheavy/jira-ruby
fuzzy_match,https://github.com/seamusabshere/fuzzy_match
mixlib-config,https://github.com/chef/mixlib-config
pg_search,https://github.com/Casecommons/pg_search
github_api,https://github.com/piotrmurach/github
reek,https://github.com/troessner/reek
rugged,https://github.com/libgit2/rugged
ohai,https://github.com/chef/ohai
oga,https://github.com/YorickPeterse/oga
jruby-openssl,https://github.com/jruby/jruby-openssl
origin,https://github.com/mongoid/origin
ember-data-source,https://github.com/emberjs/data
mixlib-shellout,https://github.com/chef/mixlib-shellout
graphql,https://github.com/rmosolgo/graphql-ruby
libv8,https://github.com/cowboyd/libv8
rails_autolink,https://github.com/tenderlove/rails_autolink
rails-api,https://github.com/rails-api/rails-api
patron,https://github.com/toland/patron
bootstrap_form,https://github.com/bootstrap-ruby/rails-bootstrap-forms
faraday-http-cache,https://github.com/plataformatec/faraday-http-cache
combustion,https://github.com/pat/combustion
spree_backend,https://github.com/spree/spree
devise_invitable,https://github.com/scambra/devise_invitable
html-proofer,https://github.com/gjtorikian/html-proofer
mutant-rspec,https://github.com/mbj/mutant
spree_api,https://github.com/spree/spree
watir,https://github.com/watir/watir
rspec-html-matchers,https://github.com/kucaahbe/rspec-html-matchers
padrino,https://github.com/padrino/padrino-framework
ffi-compiler,https://github.com/ffi/ffi
meta_request,https://github.com/dejan/rails_panel
coercible,https://github.com/solnic/coercible
scss_lint,https://github.com/brigade/scss-lint
jasmine-rails,https://github.com/searls/jasmine-rails
postmark,https://github.com/wildbit/postmark-gem
rotp,https://github.com/mdp/rotp
mail_form,https://github.com/plataformatec/mail_form
route_translator,https://github.com/enriclluelles/route_translator
merb-core,https://github.com/wycats/merb
net-ldap,https://github.com/ruby-ldap/ruby-net-ldap
puppet-blacksmith,https://github.com/voxpupuli/puppet-blacksmith
memory_profiler,https://github.com/SamSaffron/memory_profiler
bower-rails,https://github.com/rharriso/bower-rails
rqrcode,https://github.com/whomwah/rqrcode
pry-doc,https://github.com/pry/pry-doc
pry-debugger,https://github.com/nixme/pry-debugger
acts_as_commentable,https://github.com/jackdempsey/acts_as_commentable
stripe_event,https://github.com/integrallis/stripe_event
gon,https://github.com/gazay/gon
sitemap_generator,https://github.com/kjvarga/sitemap_generator
govuk_frontend_toolkit,https://github.com/alphagov/govuk_frontend_toolkit
dogapi,https://github.com/DataDog/dogapi-rb
yt,https://github.com/Fullscreen/yt
autotest-growl,https://github.com/svoop/autotest-growl
domain_name,https://github.com/knu/ruby-domain_name
fog-xml,https://github.com/fog/fog-xml
gemsmith,https://github.com/bkuhlmann/gemsmith
d3-rails,https://github.com/iblue/d3-rails
yaml_db,https://github.com/yamldb/yaml_db
amazon-ec2,https://github.com/grempe/amazon-ec2
guard-rubocop,https://github.com/yujinakayama/guard-rubocop
guard-test,https://github.com/guard/guard-test
bugsnag,https://github.com/bugsnag/bugsnag-ruby
cuba,https://github.com/soveran/cuba
active_attr,https://github.com/cgriego/active_attr
paint,https://github.com/janlelis/paint
paranoia,https://github.com/rubysherpas/paranoia
activerecord-oracle_enhanced-adapter,https://github.com/rsim/oracle-enhanced
fluent-logger,https://github.com/fluent/fluent-logger-ruby
with_model,https://github.com/Casecommons/with_model
dropbox-sdk,https://github.com/dropbox/dropbox-sdk-ruby
wisper,https://github.com/krisleech/wisper
shrine,https://github.com/janko-m/shrine
heroics,https://github.com/interagent/heroics
azure,https://github.com/Azure/azure-sdk-for-ruby
wicked_pdf,https://github.com/mileszs/wicked_pdf
wicked,https://github.com/schneems/wicked
babosa,https://github.com/norman/babosa
active_link_to,https://github.com/comfy/active_link_to
hiredis,https://github.com/redis/hiredis-rb
contracts,https://github.com/egonSchiele/contracts.ruby
moped,https://github.com/mongoid/moped
gettext,https://github.com/ruby-gettext/locale
websocket-driver,https://github.com/faye/websocket-driver-ruby
honeybadger,https://github.com/honeybadger-io/honeybadger-ruby
config,https://github.com/railsconfig/config
mini_portile2,https://github.com/flavorjones/mini_portile
feedzirra,https://github.com/feedjira/feedjira
hoptoad_notifier,https://github.com/thoughtbot/hoptoad_notifier
concord,https://github.com/mbj/concord
composite_primary_keys,https://github.com/composite-primary-keys/composite_primary_keys
backburner,https://github.com/nesquena/backburner
watir-webdriver,https://github.com/watir/watir
fauxhai,https://github.com/customink/fauxhai
angularjs-rails,https://github.com/hiravgandhi/angularjs-rails
http-cookie,https://github.com/sparklemotion/http-cookie
volt,https://github.com/voltrb/volt
i18n-tasks,https://github.com/glebm/i18n-tasks
haml_lint,https://github.com/brigade/haml-lint
versioncake,https://github.com/bwillis/versioncake
image_size,https://gitlab.com/andreneonet/spring-study-32
cloudinary,https://github.com/cloudinary/cloudinary_gem
inch,https://github.com/rrrene/inch
appium_lib,https://github.com/appium/ruby_lib
inflecto,https://github.com/mbj/inflecto
clipboard,https://github.com/janlelis/clipboard
client_side_validations,https://github.com/DavyJonesLocker/client_side_validations
activerecord-sqlserver-adapter,https://github.com/rails-sqlserver/activerecord-sqlserver-adapter
elasticsearch-api,https://github.com/elastic/elasticsearch-ruby
churn,https://github.com/danmayer/churn
chromedriver-helper,https://github.com/flavorjones/loofah
choice,https://github.com/defunkt/choice
mongo_mapper,https://github.com/mongomapper/mongomapper
chef-zero,https://github.com/chef/chef-zero
dry-configurable,https://github.com/dry-rb/dry-configurable
escape,https://github.com/akr/escape
juwelier,https://github.com/flajann2/juwelier
em-hiredis,https://github.com/mloughran/em-hiredis
engine_cart,https://github.com/cbeer/engine_cart
gibberish,https://github.com/mdp/gibberish
gibbon,https://github.com/amro/gibbon
nyan-cat-formatter,https://github.com/mattsears/nyan-cat-formatter
redis-store,https://github.com/redis-store/redis-store
pdfkit,https://github.com/pdfkit/pdfkit
recursive-open-struct,https://github.com/aetherknight/recursive-open-struct
reform,https://github.com/trailblazer/reform
transitions,https://github.com/troessner/transitions
angular-rails-templates,https://github.com/pitr/angular-rails-templates
simple-navigation,https://github.com/codeplant/simple-navigation
react-rails,https://github.com/reactjs/react-rails
monetize,https://github.com/RubyMoney/monetize
rubyXL,https://github.com/weshatheleopard/rubyXL
molinillo,https://github.com/CocoaPods/Molinillo
grpc,https://github.com/grpc/grpc
rbvmomi,https://github.com/vmware/rbvmomi
browser,https://github.com/fnando/browser
resque_mailer,https://github.com/zapnap/resque_mailer
tinder,https://github.com/collectiveidea/tinder
slack-ruby-client,https://github.com/slack-ruby/slack-ruby-client
github-pages,https://github.com/github/pages-gem
restforce,https://github.com/ejholmes/restforce
mixlib-cli,https://github.com/chef/mixlib-cli
